id,name,is_general,creator,created,members,is_archived
C05RLN05Z3P,product-management,False,U05S28VB3ED,1694350526,['U05TQLV3ZC4'],False
C05RPGMLE83,random,False,U05S28VB3ED,1694350417,['U05TQLV3ZC4'],False
C05SCKCMV5E,general,True,U05S28VB3ED,1694350416,['U05TQLV3ZC4'],False
